Monday_Date,Monday_Open,Friday_Close,Weekly_Sentiment,Weekly_Volatility,SMA,EMA,WMA,RSI,MACD,MACD_Signal,MACD_Hist,RF_Prediction,Trend
03-01-2022,382.99128072186755,345.7367645147665,0.4082187579338842,1.684812989,,342.3200073,,,,,,347.1586703,Bullish
10-01-2022,334.3492831355059,349.27065165467764,0.3486518761089644,5.705344534,,343.6927323545454,,,,,,350.852428,Bullish
24-01-2022,300.4200268218403,284.89310941057414,0.5019019148936602,7.422024885,,332.4970844173553,,,,,,287.314668,Bullish
31-01-2022,289.41486456419835,305.2022228914109,0.07970675653108805,0.505933694,,328.0018592505634,,,,,,305.9742068,Bullish
07-02-2022,309.36479390590716,287.64454664819783,0.7384863528970051,2.503344773,,320.48636784137005,,,,,,293.0018265,Bullish
14-02-2022,286.83571265433113,285.0573843210625,0.6634077740403564,4.239032895,,314.1543016338482,,,,,,290.9628345,Bullish
28-02-2022,272.5248999371504,279.72286954601606,0.6969654762610986,3.360913906,,307.8407909186031,,,,,,281.3298605,Bullish
07-03-2022,287.07243989949154,266.52510241495634,0.7913287607664636,3.576435881,,300.0727686970389,,,,,,269.3337985,Bullish
14-03-2022,259.49451635188285,300.51384563308505,0.7618435119711787,0.590028206,,300.3862037339409,,,,,,297.4846274,Bearish
21-03-2022,305.31054480215903,337.7206225337041,0.7655772188374177,1.362378984,303.7630005,307.021440309588,298.7038180436364,,,,,336.6692035,Bearish
28-03-2022,356.70325075291044,363.6197148511636,0.2884890421754701,0.865420006,305.68399965000003,316.9320873078447,309.2069086436363,,,,,361.8412018,Bearish
04-04-2022,365.2673143310838,341.2281671966951,0.18604135362981467,3.242129231,304.87999879999995,321.45897808823656,315.7789062709091,,,,,345.1244263,Bullish
18-04-2022,327.61897711557225,333.37428321063146,0.3929876976904385,3.865253379,310.16999819,323.9240116358299,321.2582996890909,,,,,334.6473993,Bullish
25-04-2022,327.92938299078224,288.2051936745766,0.06917354009930099,2.502564852,308.41799622999997,317.802068865679,317.6370866363637,41.412624312916314,,,,291.1458282,Bullish
02-05-2022,288.88639708737236,288.08739429073455,0.25405215609541887,7.001900991,308.60632935999996,312.4835086719192,314.02472146727274,41.05198368557471,,,,291.9041251,Bullish
09-05-2022,278.3254319542419,254.81001710625114,0.6599598253177208,3.300776014,305.69332887,302.31014324066115,304.5562977290909,34.89931326443505,,,,253.0899004,Bearish
16-05-2022,254.3021121653101,223.17536740438882,0.15499391805849916,2.955606135,299.88032991,287.58102685145,289.21205668,29.63635024803257,,,,226.400034,Bullish
23-05-2022,219.783838494966,253.79219834285857,0.6374319049815448,3.86946238,298.68966371,281.33175046027725,280.7265433690909,38.65952771066376,,,,243.5011397,Bearish
06-06-2022,242.9471472295517,230.3808935629854,0.15364450430237675,1.104567327,291.73299714,272.40415868568135,268.6429673672727,35.44152039702618,,,,234.348231,Bullish
13-06-2022,222.24128010283516,217.31450948216226,0.9285142249633088,7.693910135,279.7209961,262.28703792464836,255.0115123418182,33.244094160125854,,,,219.1771962,Bullish
27-06-2022,248.76000735061268,229.47514270193312,0.11497789734620434,0.730435859,266.29432984,255.91909215653047,245.4737559963636,36.13915983117596,,,,226.8157347,Bearish
11-07-2022,250.9217513398808,240.73934547548777,0.7718421043050288,0.517180178,256.11799775,253.03683280079764,240.7050897890909,39.57898862973243,,,,239.2113986,Bearish
18-07-2022,245.72406168344128,270.26604346383886,0.7399435441148517,5.053122695,249.84066621,256.5289263279253,243.63697150727273,47.26659329314765,,,,270.2947427,Bullish
25-07-2022,270.60885676334874,294.99885164458095,0.5995199642802292,1.904216037,250.53033296000004,263.91457497739344,252.23866745090913,52.32330174427862,,,,289.2682935,Bearish
01-08-2022,301.52604729880323,287.0306866077791,0.5196057589916843,0.937929662,250.49233552,268.3246546905946,259.0822457127273,50.44508477970368,,,,293.5040094,Bullish
08-08-2022,296.03934253769387,299.76349487004245,0.555128069005042,3.098044234,254.84233552,274.0892627104865,268.0890935818182,52.85224543225941,-11.840723107040674,,,296.8733994,Bearish
15-08-2022,301.8857245131043,295.5463053055016,0.1980224641592444,0.288102211,262.37900086,278.1942433994889,275.6935155781818,52.07963973216054,-9.18408933233968,,,298.7404254,Bullish
22-08-2022,289.01114718813676,287.3615933622165,0.06330395742842898,0.737748046,265.86699982,279.99347119958185,280.36824202181816,50.06961885455176,-7.682197139256687,,,290.5016666,Bullish
29-08-2022,285.3206418052627,272.8651364332225,0.13583595181421093,1.185766054,269.66499940000006,278.21465670874875,281.1578768727273,46.07705880477637,-7.844279739670242,,,272.1432941,Bearish
12-09-2022,299.82497537275776,305.5777178287423,0.8551367780753497,1.521195618,278.32400056,282.7847202344308,287.2824235454545,53.48121073983741,-5.23822614239117,,,301.4222043,Bearish
19-09-2022,301.5621986197935,277.3861809392059,0.17014762448638143,1.42133378,283.1306656,281.4293141190797,286.7380573709091,47.53773303376902,-5.3719666044387395,,,281.96479,Bullish
26-09-2022,273.0984998969526,266.0787930528923,0.5694926880939796,5.222282803,285.64899903,278.48762064288337,283.4870272618182,45.57551528365504,-6.219631520237385,,,269.9844998,Bullish
03-10-2022,256.26219073315883,223.35629180743828,0.22994111288346752,1.192451674,280.73166504,268.4116909441773,272.1090287654546,38.42754690205735,-10.177663205034207,,,228.1428064,Bullish
10-10-2022,223.1748706967827,204.05153354554577,0.06796082154077931,1.672177902,271.5156662,256.8804754088723,258.33781794000004,35.83328225062543,-14.604979760301944,-9.613343177589172,-4.991636582712772,209.1401047,Bullish
17-10-2022,208.64867778108808,212.43591272156687,0.4524845954528136,4.334529542,264.14266510000004,249.1640257708955,247.9604245218182,38.18238358856913,-17.15339064479602,-11.121352671030545,-6.032037973765476,215.7757021,Bullish
